visit_year,visit_week,max_visitors,min_visitors,avg_visitors,count_visitors,sum_reserve_visitors,avg_reserve_visitors,count_reserve_visitors,number_of_holiday_days_visit,area_id,genre_id,number_of_restaurants_in_area,weekend_visitors,sum_diff_days_between_reserve_visit_category,min_diff_days_between_reserve_visit_category,sum_visitors
2016,1,30,30,30,1,0,0,0,2,1,4,57,30,5,5,30
2016,1,1,1,1,1,0,0,0,2,9,1,444,1,5,5,1
2016,1,3,3,3,1,0,0,0,2,9,9,444,3,5,5,3
2016,1,45,33,39,2,0,0,0,2,9,4,444,78,5,5,78
2016,1,68,68,68,4,67,16,4,2,8,13,127,272,1,1,272
2016,1,34,34,34,1,0,0,0,2,8,2,127,34,5,5,34
2016,1,23,11,17,2,0,0,0,2,3,13,17,34,5,5,34
2016,1,31,16,23,2,0,0,0,2,1,2,57,47,5,5,47
2016,1,1,1,1,1,0,0,0,2,8,2,127,1,5,5,1
2016,1,64,64,64,1,0,0,0,2,8,4,127,64,5,5,64
2016,1,6,5,5,2,0,0,0,2,4,6,74,11,5,5,11
2016,1,7,7,7,1,0,0,0,2,4,9,74,7,5,5,7
2016,1,94,8,85,10,39,3,10,2,6,9,46,854,1,1,854
2016,1,21,9,17,3,9,4,2,2,4,9,74,51,1,1,51
2016,1,14,2,8,2,0,0,0,2,1,2,57,16,5,5,16
2016,1,8,8,8,1,0,0,0,2,8,9,127,8,5,5,8
2016,1,10,10,10,1,0,0,0,2,9,13,444,10,5,5,10
2016,1,33,33,33,1,0,0,0,2,8,13,127,33,5,5,33
2016,1,1,1,1,1,0,0,0,2,8,4,127,1,5,5,1
2016,1,19,11,15,2,0,0,0,2,8,4,127,30,5,5,30
2016,1,39,39,39,1,0,0,0,2,2,13,14,39,5,5,39
2016,1,64,64,64,1,0,0,0,2,9,13,444,64,5,5,64
2016,1,4,4,4,1,0,0,0,2,9,6,444,4,5,5,4
2016,1,6,6,6,1,0,0,0,2,1,2,57,6,5,5,6
2016,1,12,12,12,1,0,0,0,2,8,4,127,12,5,5,12
2016,1,25,25,25,1,0,0,0,2,6,10,46,25,5,5,25
2016,1,16,14,15,2,0,0,0,2,1,9,57,30,5,5,30
2016,1,39,39,39,1,0,0,0,2,3,13,17,39,5,5,39
2016,1,8,8,8,1,0,0,0,2,9,6,444,8,5,5,8
2016,1,20,20,20,1,0,0,0,2,8,2,127,20,5,5,20
2016,1,55,30,42,2,0,0,0,2,1,13,57,85,5,5,85
2016,1,16,16,16,1,0,0,0,2,9,14,444,16,5,5,16
2016,1,43,43,43,1,0,0,0,2,9,13,444,43,5,5,43
2016,1,28,28,28,3,6,2,3,2,7,5,32,84,1,1,84
2016,1,62,37,49,2,0,0,0,2,9,4,444,99,5,5,99
