max_visitors,avg_visitors,count_visitors,weekend_visitors,sum_visitors
30,30,1,30,30
1,1,1,1,1
3,3,1,3,3
45,39,2,78,78
68,68,4,272,272
34,34,1,34,34
23,17,2,34,34
31,23,2,47,47
1,1,1,1,1
64,64,1,64,64
6,5,2,11,11
7,7,1,7,7
94,85,10,854,854
21,17,3,51,51
14,8,2,16,16
8,8,1,8,8
10,10,1,10,10
33,33,1,33,33
1,1,1,1,1
19,15,2,30,30
39,39,1,39,39
64,64,1,64,64
4,4,1,4,4
6,6,1,6,6
12,12,1,12,12
25,25,1,25,25
16,15,2,30,30
39,39,1,39,39
8,8,1,8,8
20,20,1,20,20
55,42,2,85,85
16,16,1,16,16
43,43,1,43,43
28,28,3,84,84
62,49,2,99,99
46,46,1,46,46
33,32,2,64,64
12,7,2,15,15
14,14,1,14,14
43,38,2,77,77
8,8,2,16,16
6,6,1,6,6
50,41,2,82,82
9,9,1,9,9
2,1,2,3,3
4,4,1,4,4
27,16,2,32,32
17,17,1,17,17
24,24,1,24,24
7,7,1,7,7
2,2,1,2,2
10,10,1,10,10
18,17,2,35,35
39,33,2,66,66
29,25,2,50,50
22,22,1,22,22
56,49,2,99,99
35,35,1,35,35
7,4,2,9,9
10,9,2,18,18
8,8,1,8,8
16,16,1,16,16
64,64,2,128,128
21,18,2,37,37
20,20,1,20,20
30,30,1,30,30
42,41,2,83,83
24,24,1,24,24
3,3,1,3,3
102,93,2,187,187
32,32,1,32,32
23,23,1,23,23
96,96,4,384,384
12,10,2,21,21
15,9,2,19,19
37,29,2,58,58
37,37,1,37,37
4,4,1,4,4
42,41,2,83,83
54,39,7,550,275
57,43,6,518,259
35,20,6,242,121
43,17,6,204,102
49,33,5,334,167
19,10,9,188,94
32,21,7,304,152
48,25,5,258,129
39,27,3,164,82
35,25,5,250,125
33,23,5,232,116
11,5,6,60,30
42,25,6,308,154
44,20,7,292,146
18,11,4,94,47
18,11,6,132,66
61,27,9,494,247
25,23,5,230,115
20,14,6,170,85
29,19,5,196,98
68,44,6,528,264
48,21,7,298,149
17,11,5,110,55
17,10,7,146,73
22,12,6,144,72
19,9,6,110,55
42,24,6,298,149
19,14,5,146,73
43,37,5,372,186
61,36,5,364,182
46,29,6,358,179
26,12,3,72,36
22,12,5,126,63
19,17,6,206,103
16,9,5,94,47
22,10,5,108,54
64,46,7,650,325
12,4,6,58,29
31,29,2,116,58
44,34,24,1640,820
52,39,5,394,197
8,3,7,46,23
71,45,6,542,271
26,14,7,198,99
71,37,13,964,482
16,10,7,140,70
27,12,5,126,63
35,25,6,308,154
28,14,7,200,100
18,9,4,72,36
65,30,4,244,122
91,42,5,422,211
71,43,6,522,261
8,5,6,66,33
8,5,3,34,17
14,10,6,124,62
32,24,13,628,314
24,16,5,164,82
54,37,5,372,186
31,21,4,170,85
26,22,3,134,67
51,33,5,336,168
16,9,6,118,59
9,5,6,68,34
17,7,6,86,43
18,13,4,104,52
70,22,7,316,158
25,18,5,180,90
76,54,5,540,270
56,27,5,274,137
19,13,6,162,81
34,15,5,156,78
11,7,6,92,46
18,13,6,160,80
30,20,6,250,125
25,11,5,110,55
28,13,6,158,79
16,9,5,90,45
49,33,7,470,235
33,32,4,256,128
52,21,7,302,151
17,10,5,102,51
14,9,4,76,38
56,25,6,304,152
132,47,4,376,188
26,18,5,184,92
26,15,5,158,79
28,22,2,88,44
13,8,7,122,61
47,30,4,246,123
55,40,6,488,244
84,24,7,348,174
30,18,7,254,127
25,22,2,88,44
79,65,6,780,390
29,27,2,108,54
26,13,5,134,67
24,16,10,334,167
13,8,7,116,58
32,23,6,282,141
24,13,5,138,69
39,26,7,368,184
14,10,3,62,31
49,40,6,482,241
63,34,6,412,206
38,17,9,308,154
24,12,6,148,74
38,19,6,232,116
75,38,6,460,230
13,8,4,70,35
12,6,6,76,38
48,27,5,272,136
39,29,5,294,147
34,22,5,224,112
12,6,5,66,33
21,11,5,114,57
24,19,11,432,216
31,20,5,206,103
16,10,6,122,61
29,14,5,146,73
25,21,5,216,108
15,8,6,98,49
60,31,7,438,219
19,13,7,186,93
22,14,5,142,71
17,12,2,50,25
17,9,6,118,59
40,28,5,280,140
40,19,4,154,77
31,11,5,118,59
9,5,3,32,16
47,28,6,346,173
18,10,5,102,51
17,10,4,80,40
27,14,5,146,73
62,32,6,394,197
24,20,2,82,41
18,13,5,134,67
29,23,4,186,93
47,33,6,402,201
27,17,6,212,106
11,6,5,62,31
33,21,6,258,129
38,20,7,292,146
20,11,4,88,44
91,58,4,466,233
33,24,6,294,147
17,8,5,86,43
33,20,4,162,81
26,17,5,176,88
38,15,6,186,93
35,21,7,298,149
8,4,3,26,13
33,21,5,210,105
42,23,6,286,143
10,7,7,100,50
30,21,4,172,86
20,17,4,136,68
35,19,7,268,134
49,39,5,392,196
44,28,7,404,202
21,8,7,120,60
9,3,5,36,18
32,16,7,224,112
29,18,6,216,108
15,8,6,102,51
12,9,7,130,65
19,7,5,74,37
21,12,4,102,51
31,19,6,234,117
34,23,5,236,118
24,14,7,202,101
55,31,5,312,156
49,29,5,294,147
27,11,7,154,77
31,22,5,228,114
10,8,2,32,16
9,9,3,54,27
67,39,6,476,238
18,15,6,184,92
12,9,4,72,36
51,31,4,252,126
15,12,4,102,51
26,16,5,164,82
12,4,5,48,24
49,23,7,330,165
11,7,5,72,36
39,17,3,104,52
33,23,6,280,140
51,24,6,292,146
29,15,7,210,105
83,53,5,538,269
31,16,5,164,82
19,15,2,60,30
39,25,6,302,151
10,4,6,52,26
13,5,7,76,38
13,7,4,58,29
23,13,6,166,83
57,27,7,384,192
28,22,6,268,134
20,17,5,172,86
14,8,5,80,40
9,6,7,92,46
24,10,5,104,52
32,20,7,282,141
29,29,1,58,29
20,10,7,140,70
45,21,3,128,64
23,12,6,154,77
32,15,5,154,77
23,23,1,46,23
35,28,2,114,57
18,10,6,130,65
8,6,4,48,24
50,25,6,300,150
21,12,5,120,60
25,9,5,96,48
13,5,5,56,28
19,13,6,166,83
41,28,4,230,115
15,9,7,130,65
16,9,4,74,37
43,34,7,486,243
89,55,6,660,330
6,3,6,46,23
36,19,6,230,115
60,29,7,408,204
46,38,4,304,152
26,17,5,172,86
20,13,7,186,93
33,16,6,202,101
33,18,7,254,127
27,14,7,204,102
28,13,5,136,68
33,20,5,200,100
64,24,5,244,122
60,37,7,520,260
57,39,7,558,279
44,21,6,260,130
41,26,5,268,134
43,31,6,378,189
31,18,7,252,126
66,43,5,430,215
100,37,6,444,222
29,18,8,298,149
3,3,1,6,3
39,27,6,326,163
14,7,5,72,36
55,25,6,302,151
33,20,6,246,123
61,45,3,270,135
35,15,7,210,105
16,10,6,122,61
10,4,4,34,17
48,33,7,474,237
10,8,4,64,32
29,16,4,128,64
28,13,5,134,67
99,61,7,864,432
13,7,6,86,43
23,13,3,78,39
20,16,3,96,48
60,29,6,352,176
15,10,6,120,60
25,20,3,124,62
31,15,5,156,78
16,11,4,94,47
24,8,7,116,58
16,10,3,62,31
22,20,5,204,102
27,18,6,224,112
60,43,14,1206,603
44,27,6,332,166
47,34,6,414,207
18,13,4,108,54
50,31,7,440,220
9,5,5,52,26
30,19,4,158,79
39,29,5,292,146
39,25,6,308,154
10,7,3,42,21
25,13,6,164,82
53,37,5,376,188
41,34,5,344,172
57,35,7,496,248
41,31,5,316,158
43,29,5,296,148
53,38,5,380,190
32,17,5,174,87
84,59,3,354,177
8,4,5,46,23
41,21,5,214,107
72,34,7,480,240
50,37,6,454,227
41,23,7,332,166
58,29,6,352,176
35,28,6,336,168
17,13,10,274,137
39,21,7,304,152
53,29,7,418,209
29,21,7,306,153
32,17,5,178,89
34,22,6,268,134
16,10,4,82,41
53,34,5,342,171
68,27,7,386,193
22,13,6,158,79
31,15,7,210,105
68,43,18,1580,790
38,26,7,376,188
13,8,5,86,43
22,11,7,156,78
66,36,7,510,255
37,22,7,320,160
17,11,7,154,77
31,16,10,334,167
20,13,5,138,69
19,11,7,166,83
49,25,7,350,175
22,17,6,214,107
43,34,7,476,238
35,22,6,270,135
76,37,7,518,259
13,7,6,84,42
25,16,6,194,97
25,15,7,222,111
17,10,7,140,70
8,5,6,66,33
42,35,5,356,178
13,6,6,78,39
28,15,6,188,94
53,34,46,3154,1577
53,42,6,512,256
11,6,5,68,34
78,52,5,522,261
25,12,7,172,86
72,31,12,754,377
21,14,10,290,145
32,15,7,214,107
34,22,5,224,112
23,12,7,168,84
21,11,7,166,83
55,34,7,480,240
116,40,7,560,280
56,37,7,530,265
17,13,5,138,69
24,11,3,66,33
16,11,5,118,59
48,28,20,1132,566
32,27,4,216,108
55,24,6,296,148
64,36,6,436,218
55,36,7,508,254
25,15,7,212,106
33,33,1,66,33
45,25,7,356,178
18,10,7,148,74
15,9,5,98,49
13,8,4,68,34
18,11,6,140,70
42,18,5,186,93
31,16,6,194,97
52,38,7,538,269
60,30,7,422,211
16,10,5,104,52
48,30,7,422,211
22,12,6,150,75
17,11,7,154,77
30,16,7,226,113
23,13,6,158,79
22,11,5,116,58
18,12,6,148,74
58,32,7,450,225
44,31,5,312,156
48,27,7,382,191
25,14,7,200,100
34,19,5,198,99
47,21,7,302,151
167,58,3,348,174
32,24,5,240,120
34,24,6,298,149
39,19,7,278,139
21,8,6,100,50
92,47,7,666,333
55,40,7,566,283
41,25,7,358,179
30,16,7,224,112
18,14,2,58,29
25,13,7,184,92
269,94,5,946,473
28,15,5,158,79
35,22,6,274,137
29,16,6,196,98
25,24,7,336,168
25,20,4,162,81
28,21,6,254,127
36,22,6,268,134
35,24,7,338,169
25,16,5,168,84
53,37,7,524,262
60,34,6,408,204
18,15,7,214,107
38,13,5,132,66
57,32,7,456,228
92,51,7,720,360
19,11,6,138,69
17,9,7,136,68
91,48,6,586,293
53,35,7,502,251
32,20,5,206,103
11,6,6,76,38
14,8,6,102,51
19,13,7,194,97
28,19,7,266,133
37,15,7,210,105
31,19,5,198,99
21,19,7,266,133
22,10,7,140,70
47,37,7,518,259
23,12,7,174,87
19,9,7,134,67
19,14,5,148,74
29,12,7,172,86
53,31,6,376,188
41,26,6,316,158
35,10,7,152,76
7,3,6,38,19
50,30,7,426,213
15,8,6,104,52
28,18,6,222,111
30,20,6,240,120
67,37,7,530,265
37,20,5,204,102
20,10,6,126,63
37,24,6,298,149
45,30,7,420,210
19,14,5,144,72
13,10,4,80,40
26,16,6,198,99
50,28,7,392,196
20,11,7,154,77
53,22,6,264,132
49,30,7,432,216
15,10,5,108,54
39,20,6,246,123
26,17,5,172,86
12,6,4,54,27
57,40,6,482,241
35,18,6,218,109
32,17,5,178,89
35,22,6,272,136
18,10,7,144,72
369,89,5,890,445
21,17,4,136,68
30,16,7,236,118
54,33,5,338,169
36,31,4,250,125
30,13,7,182,91
23,7,4,60,30
103,29,7,416,208
19,11,6,136,68
16,8,7,120,60
20,14,7,204,102
19,12,3,76,38
48,27,5,274,137
36,25,7,352,176
41,29,6,348,174
31,15,7,218,109
51,26,7,364,182
45,34,5,342,171
26,9,7,132,66
37,22,5,220,110
21,15,6,180,90
10,8,5,82,41
56,38,6,464,232
37,17,5,170,85
16,8,5,86,43
43,26,5,264,132
22,15,6,184,92
40,24,7,348,174
6,4,5,40,20
49,18,7,254,127
6,5,4,44,22
15,8,7,124,62
37,24,6,294,147
37,23,6,282,141
27,15,7,220,110
94,69,6,830,415
36,18,5,180,90
16,10,5,104,52
40,26,7,364,182
27,9,7,126,63
29,11,7,164,82
5,3,4,30,15
19,10,6,130,65
61,28,7,400,200
34,18,7,256,128
21,13,5,136,68
12,7,6,86,43
23,13,6,158,79
18,8,5,80,40
